essai,date plantation,age,date notation,modalité,parcelle,Zone,R/IR,max,diff,Note_globale,Acalypha indica ,Achyranthes aspera ,Aeschynomene americana,Ageratum conyzoides ,Amaranthus sp,Argemone mexicana ,Bidens pilosa ,Boerhavia diffusa ,Brachiaria reptans,Brachiaria sp,Cajanus scarabaeoides,Canna indica ,Cardiospermum halicacabum,Carica papaya,Centrosema pubescens ,Centrosema virginianum,Cleome viscosa ,Commelina benghalensis,Cordia africana,Crassocephalum crepidioides ,Crotalaria retusa ,Croton bonplandianus,Cyclospermum leptophyllum,Cynodon dactylon ,Cyperus rotundus ,Dactyloctenium aegyptium ,Datura innoxia,Desmanthus virgatus,Desmodium tortuosum,Eleusine indica ,Emilia sonchifolia,Erigeron sumatrensis,Euphorbia heterophylla ,Euphorbia hirta,Euphorbia hyssopifolia,Euphorbia hypericifolia,Gamochaeta purpurea,Hibiscus surattensis ,Inconnue,Indigofera hirsuta ,Ipomoea ochracea,Ipomoea eriocarpa ,Ipomoea hederifolia ,Ipomoea nil,Ipomoea obscura ,Ipomoea triloba,Lactuca indica ,Lantana camara,Lepidium didymum,Litsea glutinosa,Malvastrum coromandelianum,Panicum maximum,Melochia pyramidata,Distimake aegyptius (Merremia aegyptia),Mimosa diplotricha,Mimosa pudica ,Momordica charantia ,Oxalis corniculata,Paspalum scrobiculatum ,Passiflora foetida ,Phyllanthus amarus ,Phyllanthus niruroides ,Phyllanthus tenellus,Plantago lanceolata,Portulaca oleracea ,Ricinus communis ,Rivina humilis,Rottboellia cochinchinensis ,Senna occidentalis ,Cyanthillium cinereum,Setaria pumila,Sida acuta ,Sida alba,Sida retusa ,Sida rhombifolia,Solanum americanum ,Solanum lycopersicum,Solanum mauritianum ,Solanum torvum ,Sonchus oleraceus,Sorghum arundinaceum,Striga asiatica,Tephrosia noctiflora ,Trianthema portulacastrum ,"Trichodesma sp,",Triumfetta rhomboidea 
Canne Bio,16/4/2020,"0,6",4/5/2020,T0,P02,A,IR,1,0,1,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canne Bio,16/4/2020,"0,6",4/5/2020,T0,P02,A,R,1,0,1,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canne Bio,16/4/2020,"0,6",4/5/2020,T0,P02,B,IR,1,0,1,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canne Bio,16/4/2020,"0,6",4/5/2020,T0,P02,B,R,1,0,1,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canne Bio,16/4/2020,"0,6",4/5/2020,M2,P03,A,IR,10,0,10,,,,,5,,,,,,,,1,,,,1,1,,,,1,,1,5,,,,,1,,,10,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Canne Bio,16/4/2020,"0,6",4/5/2020,M2,P03,A,R,10,0,10,,,,,5,,,,,,,,1,,,,1,1,,,,1,,1,5,,,,,1,,,10,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Canne Bio,16/4/2020,"0,6",4/5/2020,M2,P03,B,IR,5,0,5,,,,,,,,,,,,,1,,,,1,,,,,,,,5,,,,,,,,5,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,1,,,,,,,1,1,,,,,,,1,1,,,,,,,,,
Canne Bio,16/4/2020,"0,6",4/5/2020,M2,P03,B,R,5,0,5,,,,,,,,,,,,,1,,,,1,,,,,,,,5,,,,,,,,5,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,1,,,,,,,1,1,,,,,,,1,1,,,,,,,,,
Canne Bio,16/4/2020,"0,6",4/5/2020,M3,P04,A,IR,1,0,1,,,,,,1,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
Canne Bio,16/4/2020,"0,6",4/5/2020,M3,P04,A,R,1,0,1,,,,,,1,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
